ClassId,ClassName,Correct,Total,Accuracy
0,Speed limit 20,4,60,6.67
1,Speed limit 30,576,720,80.0
2,Speed limit 50,379,750,50.53
3,Speed limit 60,203,450,45.11
4,Speed limit 70,432,660,65.45
5,Speed limit 80,522,630,82.86
6,End speed limit 80,95,150,63.33
7,Speed limit 100,222,450,49.33
8,Speed limit 120,348,450,77.33
9,No passing,407,480,84.79
10,No passing >3.5t,596,660,90.3
11,Right of way,371,420,88.33
12,Priority road,591,690,85.65
13,Yield,671,720,93.19
14,Stop,229,270,84.81
15,No vehicles,156,210,74.29
16,No vehicles >3.5t,149,150,99.33
17,No entry,243,360,67.5
18,General caution,297,390,76.15
19,Dangerous curve left,28,60,46.67
20,Dangerous curve right,86,90,95.56
21,Double curve,52,90,57.78
22,Bumpy road,106,120,88.33
23,Slippery road,133,150,88.67
24,Road narrows right,69,90,76.67
25,Road work,416,480,86.67
26,Traffic signals,151,180,83.89
27,Pedestrians,28,60,46.67
28,Children crossing,120,150,80.0
29,Bicycles crossing,50,90,55.56
30,Ice/snow,66,150,44.0
31,Wild animals,178,270,65.93
32,End restrictions,60,60,100.0
33,Turn right ahead,203,210,96.67
34,Turn left ahead,106,120,88.33
35,Ahead only,359,390,92.05
36,Go straight or right,96,120,80.0
37,Go straight or left,48,60,80.0
38,Keep right,581,690,84.2
39,Keep left,32,90,35.56
40,Roundabout,79,90,87.78
41,End no passing,49,60,81.67
42,End no passing >3.5t,62,90,68.89
